Week,Match 1,Match 2,Match 3
1,Manchester City vs Columbus Crew (H),Bayern Munchen (H) vs Borussia Dortmund,Dummy vs Yokohama F. Marinos (H)
2,Manchester City (H) vs Bayern Munchen,Borussia Dortmund vs Yokohama F. Marinos (H),Dummy vs Columbus Crew (H)
3,Manchester City vs Borussia Dortmund (H),Columbus Crew (H) vs Yokohama F. Marinos,Dummy vs Bayern Munchen (H)
4,Manchester City vs Bayern Munchen (H),Borussia Dortmund (H) vs Columbus Crew,Dummy (H) vs Yokohama F. Marinos
5,Manchester City (H) vs Borussia Dortmund,Columbus Crew vs Yokohama F. Marinos (H),Dummy (H) vs Bayern Munchen
6,Bayern Munchen vs Columbus Crew (H),Borussia Dortmund (H) vs Yokohama F. Marinos,Dummy (H) vs Manchester City
7,Manchester City (H) vs Columbus Crew,Bayern Munchen (H) vs Yokohama F. Marinos,Dummy vs Borussia Dortmund (H)
8,Manchester City (H) vs Yokohama F. Marinos,Bayern Munchen vs Borussia Dortmund (H),Dummy (H) vs Columbus Crew
9,Bayern Munchen vs Yokohama F. Marinos (H),Borussia Dortmund vs Columbus Crew (H),Dummy vs Manchester City (H)
10,Manchester City vs Yokohama F. Marinos (H),Bayern Munchen (H) vs Columbus Crew,Dummy (H) vs Borussia Dortmund
