RK,Team,Total Points,Previous Points,+/-,Match window,More
12.0,USAUSA,1665.27,1665.27,-,,
151.0,MexicoMEX,1652.7,1655.21,-2.51,L,
41.0,PanamaPAN,1475.62,1475.62,-,,
48.0,CanadaCAN,1453.76,1453.76,-,,
52.0,Costa RicaCRC,1437.57,1437.57,-,,
55.0,JamaicaJAM,1421.54,1421.54,-,,
76.0,HondurasHON,1313.8,1313.8,-,,
78.0,El SalvadorSLV,1306.14,1306.14,-,,
89.0,HaitiHAI,1262.5,1262.5,-,,
90.0,CuraçaoCUW,1262.48,1262.48,-,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
